"","gname","country_txt","iyear","imonth","iday","country","region","region_txt","attacktype1","attacktype1_txt","targtype1","targtype1_txt","weaptype1","weaptype1_txt","nkill","nwound"
"1","Abu Sayyaf Group (ASG)","Philippines",2014,12,23,160,5,"Southeast Asia",3,"Bombing/Explosion",20,"Unknown",6,"Explosives/Bombs/Dynamite",0,0
"2","Abu Sayyaf Group (ASG)","Philippines",2014,1,26,160,5,"Southeast Asia",1,"Assassination",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"3","Abu Sayyaf Group (ASG)","Philippines",2014,12,30,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",0,0
"4","Abu Sayyaf Group (ASG)","Philippines",2002,6,17,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"5","Abu Sayyaf Group (ASG)","Philippines",2008,4,8,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",5,"Firearms",0,0
"6","Abu Sayyaf Group (ASG)","Philippines",2014,3,5,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",5,"Firearms",0,0
"7","Abu Sayyaf Group (ASG)","Philippines",2008,3,1,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,6
"8","Abu Sayyaf Group (ASG)","Philippines",2011,9,27,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",6,7
"9","Abu Sayyaf Group (ASG)","Philippines",2009,10,17,160,5,"Southeast Asia",3,"Bombing/Explosion",19,"Transportation",6,"Explosives/Bombs/Dynamite",0,0
"10","Abu Sayyaf Group (ASG)","Philippines",2005,1,10,160,5,"Southeast Asia",1,"Assassination",4,"Military",5,"Firearms",1,1
"11","Abu Sayyaf Group (ASG)","Philippines",2012,12,31,160,5,"Southeast Asia",3,"Bombing/Explosion",3,"Police",6,"Explosives/Bombs/Dynamite",0,3
"12","Abu Sayyaf Group (ASG)","Philippines",2003,2,20,160,5,"Southeast Asia",3,"Bombing/Explosion",6,"Airports & Aircraft",6,"Explosives/Bombs/Dynamite",1,NA
"13","Abu Sayyaf Group (ASG)","Philippines",2009,7,7,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",2,11
"14","Abu Sayyaf Group (ASG)","Philippines",2010,11,15,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",8,"Educational Institution",13,"Unknown",0,0
"15","Abu Sayyaf Group (ASG)","Philippines",2011,4,9,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"16","Abu Sayyaf Group (ASG)","Philippines",2011,11,8,160,5,"Southeast Asia",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,2
"17","Abu Sayyaf Group (ASG)","Philippines",2012,2,1,160,5,"Southeast Asia",6,"Hostage Taking (Kidnapping)",18,"Tourists",6,"Explosives/Bombs/Dynamite",NA,NA
"18","Abu Sayyaf Group (ASG)","Philippines",2001,10,8,160,5,"Southeast Asia",3,"Bombing/Explosion",18,"Tourists",6,"Explosives/Bombs/Dynamite",0,0
"19","Abu Sayyaf Group (ASG)","Philippines",2008,4,13,160,5,"Southeast Asia",3,"Bombing/Explosion",1,"Business",6,"Explosives/Bombs/Dynamite",0,0
"20","Abu Sayyaf Group (ASG)","Philippines",2012,10,13,160,5,"Southeast Asia",2,"Armed Assault",4,"Military",5,"Firearms",3,0
"21","Abu Sayyaf Group (ASG)","Philippines",2001,8,25,160,5,"Southeast Asia",2,"Armed Assault",19,"Transportation",5,"Firearms",6,10
